	Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	URL	Language	Country	Genre	CastID	Rating	DirectorID
2987	Gwoemul	Mar	9	2007	12.0	2.201923	92.618117	/title/tt0468492/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Horror', 'Sci-Fi']	['nm0814280/', 'nm1322404/', 'nm1310960/', 'nm0046277/', 'nm2163344/', 'nm1367681/', 'nm1594385/', 'nm2603915/', 'nm2175143/', 'nm2156926/']	6.2	nm0915304
2988	The Pursuit of D.B. Cooper	Nov	13	1981	12.0	2.104164	2.104164	/title/tt0082958/?ref_=fn_al_tt_1	['English']	['USA']	['Adventure', 'Crime', 'Thriller']	['nm0000380/', 'nm0001852/', 'nm0002130/', 'nm0281130/', 'nm0322339/', 'nm0035866/', 'nm0276127/', 'nm0182661/', 'nm0399590/', 'nm0808485/']	6.3	nm0001837
2989	Ravenous	Mar	19	1999	12.0	2.062406	2.062406	/title/tt1244658/?ref_=fn_al_tt_1	['English']	['USA', 'UK', 'France']	['Drama', 'Horror', 'Thriller']	['nm0226813/', 'nm0263759/', 'nm2253071/', 'nm0790798/', 'nm0240147/', 'nm0637441/', 'nm4159718/', 'nm4066501/', 'nm4065895/', '']	6.1	nm0281945
2990	The Dangerous Lives of Altar Boys	Jun	14	2002	12.0	1.779284	1.779284	/title/tt0238924/?ref_=fn_al_tt_1	['English']	['USA', 'Germany']	['Comedy', 'Drama']	['nm0386472/', 'nm0001085/', 'nm0000352/', 'nm0540441/', 'nm0724593/', 'nm0519222/', 'nm0000149/', 'nm0108698/', 'nm0801199/', 'nm0564350/']	7.4	nm2503633
2991	Stoker	Mar	1	2013	12.0	1.703125	12.079308	/title/tt1682180/?ref_=fn_al_tt_1	['English']	['USA']	['Drama', 'Thriller']	['nm1985859/', 'nm0000173/', 'nm0019207/', 'nm0328828/', 'nm0020896/', 'nm0738709/', 'nm0813902/', 'nm0005101/', 'nm1395771/', 'nm2403277/']	6.9	nm0431918
2992	Married Life	Mar	7	2008	12.0	1.506998	1.506998	/title/tt0804505/?ref_=fn_al_tt_1	['English']	['USA', 'Germany']	['Crime', 'Drama', 'Romance']	['nm0177933/', 'nm0449949/', 'nm0000112/', 'nm0165101/', 'nm1046097/', 'nm0665528/', 'nm1248979/', 'nm2484639/', 'nm2927395/', 'nm0446892/']	5.4	nm0221133
2993	2046	Aug	5	2005	12.0	1.442338	19.287485	/title/tt0212712/?ref_=fn_al_tt_1	['English']	['USA']	['Drama', 'Romance', 'Sci-Fi']	['nm0504897/', 'nm0000084/', 'nm0910947/', 'nm0454120/', 'nm0955471/', 'nm0490500/', 'nm0151654/', 'nm1089540/', 'nm0001041/', 'nm0570824/']	5.5	nm0769874
2994	Kill the Irishman	Mar	11	2011	12.0	1.188194	1.188194	/title/tt1416801/?ref_=fn_al_tt_1	['English']	['Canada', 'USA']	['Biography', 'Crime', 'Drama']	['nm0829032/', 'nm0000352/', 'nm0000174/', 'nm0000686/', 'nm0004802/', 'nm0201700/', 'nm0001108/', 'nm0001217/', 'nm0348409/', 'nm0124798/']	7.9	nm1294036
2995	Duma	Sep	30	2005	12.0	0.870067	0.99479	/title/tt0361715/?ref_=fn_al_tt_1	['English']	['Canada', 'UK']	['Adventure', 'Drama', 'Family']	['nm1455235/', 'nm0001714/', 'nm1828832/', 'nm1828830/', 'nm0204706/', 'nm0829935/', 'nm0714272/', 'nm1828823/', 'nm0831613/', 'nm1308069/']	8.3	nm0000233
2996	Darling Companion	Apr	20	2012	12.0	0.793352	1.200346	/title/tt1730687/?ref_=fn_al_tt_1	['English', 'Hindi']	['UK', 'France']	['Comedy', 'Drama', 'Romance']	['nm0000473/', 'nm0000177/', 'nm0001848/', 'nm0420955/', 'nm0005253/', 'nm0243233/', 'nm0957909/', 'nm0001731/', 'nm0005441/', 'nm3045245/']	6.5	nm0000659
2997	Ondine	Jun	4	2010	12.0	0.550472	0.557545	/title/tt1235796/?ref_=fn_al_tt_1	['English']	['UK', 'France', 'USA']	['Drama', 'Mystery', 'Romance']	['nm0268199/', 'nm0045461/', 'nm0457062/', 'nm3599764/', 'nm0640949/', 'nm0192889/', 'nm3994865/', 'nm1892509/', 'nm0001653/', 'nm1469010/']	6.4	nm0001241
2998	Brother	Jul	20	2001	12.0	0.450594	0.450594	/title/tt0222851/?ref_=fn_al_tt_1	['English']	['USA', 'UK']	['Crime', 'Drama', 'Thriller']	['nm0001429/', 'nm0004898/', 'nm0538580/', 'nm0441377/', 'nm0855398/', 'nm0914396/', 'nm0101603/', 'nm0652592/', 'nm0410903/', 'nm0793363/']	6.3	nm0000416
2999	Welcome to Collinwood	Oct	4	2002	12.0	0.37865	0.37865	/title/tt0271259/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Crime']	['nm0000513/', 'nm0913460/', 'nm0005377/', 'nm0005052/', 'nm0350079/', 'nm1236659/', 'nm0165101/', 'nm0205789/', 'nm1236670/', 'nm0640759/']	8.3	nm0205542
3000	Life Before Her Eyes	Apr	18	2008	12.0	0.303439	7.203439	/title/tt0815178/?ref_=fn_al_tt_1	['English']	['USA']	['Drama', 'Mystery', 'Thriller']	['nm0000235/', 'nm0939697/', 'nm0025483/', 'nm2091536/', 'nm0191442/', 'nm1209966/', 'nm0319636/', 'nm1048213/', 'nm1910274/', 'nm0169565/']	8.1	nm1500577
3001	Critical Care	Oct	31	1997	12.0	0.220175	0.220175	/title/tt0118901/?ref_=fn_al_tt_1	['English']	['USA']	['Comedy', 'Drama']	['nm0000652/', 'nm0001718/', 'nm0000545/', 'nm0000843/', 'nm0000983/', 'nm0942482/', 'nm0553269/', 'nm0001728/', 'nm0097842/', 'nm0272173/']	5.4	nm0235719
